campaignName,startUTC,endUTC
S12 DROPS TOKEN EVENT 08/31,2026-08-31T08:00:00Z,2026-09-01T07:59:00Z
S12 DROPS TOKEN EVENT 09/01,2026-09-01T08:00:00Z,2026-09-02T07:59:00Z
